Absorption (K-edge) for mids: mp-19091; elements: Cr; smoothing fwhm: 0.0 eV.
Spectra (before any smoothing) are 3rd-order spline interpolations ranged over the intersection of E-axis ranges of site spectra.
mp-19091 Cr K-edge	
E (eV)	mu
5992.763	0.013536822272497282
5993.040195979899	0.014596285998285883
5993.317391959799	0.01585303821638343
5993.594587939699	0.01742242293047399
5993.871783919598	0.0194355715603334
5994.148979899497	0.02213424081448706
5994.426175879397	0.025926721135802924
5994.703371859297	0.031683661925503245
5994.980567839196	0.040744592363863213
5995.257763819095	0.05439061064754071
5995.534959798995	0.07023920660284444
5995.8121557788945	0.08448010892324029
5996.089351758794	0.0946552729555055
5996.366547738693	0.10032413658562238
5996.643743718593	0.10091566128295457
5996.9209396984925	0.09841620667720283
5997.198135678392	0.09755630869045064
5997.475331658291	0.10253747106128461
5997.752527638191	0.11359576857886126
5998.02972361809	0.12935800685351356
5998.30691959799	0.14801625149110206
5998.584115577889	0.16410723657397
5998.861311557789	0.17608714299672878
5999.138507537688	0.1877653425229804
5999.415703517588	0.19844025727422657
5999.692899497488	0.2052576144630996
5999.970095477387	0.21012400028213943
6000.247291457286	0.21425305113536963
6000.524487437186	0.2180336189478651
6000.801683417086	0.2208171025684532
6001.078879396985	0.22264247958951291
6001.356075376884	0.22489869240927396
6001.633271356784	0.22855824247279222
6001.910467336684	0.23504150088946543
6002.187663316583	0.24629880223828193
6002.464859296482	0.2646161466445685
6002.7420552763815	0.2920699322821018
6003.019251256282	0.3276193209149092
6003.296447236181	0.3646728010771835
6003.57364321608	0.3969243387547042
6003.8508391959795	0.42093130073174667
6004.12803517588	0.4401697600952222
6004.405231155779	0.45646686649433393
6004.682427135678	0.4683821417452549
6004.959623115577	0.4753841274100204
6005.236819095478	0.47863365889439796
6005.514015075377	0.4836070771153134
6005.791211055276	0.4949801692918564
6006.068407035176	0.5138389414266169
6006.3456030150755	0.5437193695194442
6006.622798994975	0.5916156817030955
6006.899994974874	0.6614846539392901
6007.177190954774	0.7533600708261904
6007.4543869346735	0.8540092137491635
6007.731582914573	0.941066327694349
6008.008778894472	0.9950382200628087
6008.285974874372	1.0
6008.563170854271	0.9583634484655826
6008.840366834171	0.8844359633105813
6009.11756281407	0.795689595969818
6009.39475879397	0.7112318932117586
6009.671954773869	0.6403468822387897
6009.949150753769	0.5833157724127573
6010.226346733668	0.5388331713355561
6010.503542713568	0.5039647074227309
6010.780738693467	0.4763132922761067
6011.057934673367	0.45482376608943204
6011.335130653267	0.4384846366505183
6011.612326633166	0.425795635131387
6011.889522613065	0.4151582881445535
6012.166718592965	0.40518047142758645
6012.443914572865	0.3946152386485696
6012.721110552764	0.38338105631280694
6012.998306532663	0.3727980055862256
6013.2755025125625	0.36394434795355923
6013.552698492463	0.3568642861586266
6013.829894472362	0.3514431821102783
6014.107090452261	0.3480764764514108
6014.3842864321605	0.3474714115811733
6014.661482412061	0.34972963669361495
6014.93867839196	0.35373147699783825
6015.215874371859	0.35829721732932224
6015.493070351758	0.36298209491525885
6015.770266331659	0.3677179117733251
6016.047462311558	0.3727226521355251
6016.324658291457	0.37880419901879453
6016.601854271356	0.38680610061654264
6016.879050251257	0.39710615560308465
6017.156246231156	0.40977006225589685
6017.433442211055	0.42475791473433167
6017.710638190955	0.4416683770527353
6017.9878341708545	0.4600072060199917
6018.265030150754	0.47877336391323966
6018.542226130653	0.49626183210970926
6018.819422110553	0.5107972247585119
6019.0966180904525	0.5216446857489005
6019.373814070352	0.5286725091254132
6019.651010050251	0.531836665841024
6019.928206030151	0.5314890676577273
6020.20540201005	0.528107260335072
6020.48259798995	0.5221498101294899
6020.759793969849	0.5140231175539944
6021.036989949749	0.5041252928852331
6021.314185929648	0.4929027769673667
6021.591381909548	0.4808865052898454
6021.868577889447	0.468614382680285
6022.145773869347	0.45656748908479916
6022.422969849246	0.4451549529489578
6022.700165829146	0.4347731964617777
6022.977361809045	0.42561804756618304
6023.254557788945	0.4176761953508272
6023.531753768844	0.4109220141059098
6023.8089497487435	0.40527571499370435
6024.086145728644	0.4006054236170525
6024.363341708543	0.3967783424222389
6024.640537688442	0.39368859403814555
6024.9177336683415	0.3912570335154556
6025.194929648242	0.38940511138376194
6025.472125628141	0.38803776207381213
6025.74932160804	0.3870409569882272
6026.026517587939	0.386299998197406
6026.30371356784	0.3857209781188344
6026.580909547739	0.38524126159088
6026.858105527638	0.3848008304859399
6027.135301507537	0.38434726025397314
6027.412497487438	0.38384512590016107
6027.689693467337	0.3832613114896231
6027.966889447236	0.38256827508879204
6028.244085427135	0.38176013028343764
6028.5212814070355	0.38083624899145724
6028.798477386935	0.3797990129478983
6029.075673366834	0.3786747405689247
6029.352869346733	0.37750117868122196
6029.6300653266335	0.3763161700470952
6029.907261306533	0.3751581326709271
6030.184457286432	0.37406605727472747
6030.461653266332	0.3730789347779854
6030.738849246231	0.37222886404490196
6031.016045226131	0.37153163594117156
6031.29324120603	0.3710006828720834
6031.57043718593	0.3706474112106419
6031.847633165829	0.37046903961061156
6032.124829145729	0.37045672277032216
6032.402025125628	0.3706015464091621
6032.679221105528	0.37089288131978954
6032.956417085427	0.3713179154524215
6033.233613065327	0.3718636953054807
6033.510809045226	0.3725170689967319
6033.788005025126	0.37326397714109916
6034.065201005025	0.3740901010050238
6034.342396984925	0.37498110581350336
6034.619592964824	0.375922207694451
6034.896788944724	0.376898123728116
6035.173984924623	0.37789354494862837
6035.4511809045225	0.378893915660225
6035.728376884423	0.379888549328746
6036.005572864322	0.3808679982696384
6036.282768844221	0.38182293774302367
6036.5599648241205	0.3827513160230163
6036.837160804021	0.38366231442336335
6037.11435678392	0.3845660758654384
6037.391552763819	0.3854740547328041
6037.668748743718	0.38641098869105994
6037.945944723619	0.38740933698118823
6038.223140703518	0.38850165432953354
6038.500336683417	0.38972193201523925
6038.777532663316	0.39110936691582576
6039.054728643217	0.39270433465477755
6039.331924623116	0.39454716189777406
6039.609120603015	0.3966747725786882
6039.886316582914	0.3991185299032275
6040.1635125628145	0.4019092836088607
6040.440708542714	0.40507723995559747
6040.717904522613	0.4086410021745103
6040.995100502512	0.4126091097600601
6041.2722964824125	0.4169897685440402
6041.549492462312	0.4217898987510271
6041.826688442211	0.42700517641727154
6042.103884422111	0.4326254647734431
6042.38108040201	0.43864057831241426
6042.65827638191	0.44503758991736725
6042.935472361809	0.45178887368066356
6043.212668341709	0.4588618985084163
6043.489864321608	0.46622412988903345
6043.767060301508	0.47383734593161075
6044.044256281407	0.4816412695466781
6044.321452261307	0.4895702781588973
6044.598648241206	0.4975587468475702
6044.875844221106	0.505532972657059
6045.153040201005	0.5133931023594623
6045.430236180905	0.5210340007412412
6045.707432160804	0.528350540507041
6045.9846281407035	0.5352509042883116
6046.261824120603	0.5416837916814908
6046.539020100503	0.5476055840288614
6046.816216080402	0.5529726626726482
6047.0934120603015	0.5577414089551359
6047.370608040201	0.5618682042185883
6047.647804020101	0.5653094298052797
6047.925	0.5680214670574514
